species,strain,reference_strain,isotype,previous_names,sequenced,warning_message,release,source_lab,collection_group,c_label,s_label,latitude,longitude,landscape,substrate,substrate_comment,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolated_by,sampled_by,isolation_date,isolation_date_comment,notes,state,country
C. elegans,ECA1219,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1433,S-08724,19.720719,-155.94765,Wild forest,Leaf litter,NA,19.5,20.5,62.5,90.7,https://web.fulcrumapp.com/photos/view?photos=75f6f384-76f7-4644-8eda-6f0916a46d82,tcrombie@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1220,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4594,S-08766,20.039722,-155.441483,Wild forest,Fruit,NA,21.3,23.3,NA,83.6,https://web.fulcrumapp.com/photos/view?photos=6599acdf-264b-49b7-bae7-8256d6c446ec,erik.andersen@northwestern.edu,tcrombie@northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1221,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4594,S-08775,20.039722,-155.441483,Wild forest,Fruit,NA,21.3,23.3,NA,83.6,https://web.fulcrumapp.com/photos/view?photos=6599acdf-264b-49b7-bae7-8256d6c446ec,erik.andersen@northwestern.edu,tcrombie@northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1222,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3569,S-08795,19.7188,-155.954483,Wild forest,Fruit,NA,20.4,21.2,NA,89,NA,erik.andersen@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1223,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3569,S-08796,19.7188,-155.954483,Wild forest,Fruit,NA,20.4,21.2,NA,89,NA,erik.andersen@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1224,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3569,S-08801,19.7188,-155.954483,Wild forest,Fruit,NA,20.4,21.2,NA,89,NA,erik.andersen@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1225,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3569,S-08802,19.7188,-155.954483,Wild forest,Fruit,NA,20.4,21.2,NA,89,NA,erik.andersen@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1226,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3569,S-08803,19.7188,-155.954483,Wild forest,Fruit,NA,20.4,21.2,NA,89,NA,erik.andersen@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1227,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3569,S-08804,19.7188,-155.954483,Wild forest,Fruit,NA,20.4,21.2,NA,89,NA,erik.andersen@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1228,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1421,S-08865,19.721356,-155.947333,Wild forest,Flower,NA,20.5,20.5,NA,91.1,https://web.fulcrumapp.com/photos/view?photos=e42ac1d7-c826-4b5d-bef0-6d74e53ad8c1,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1229,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3451,S-08914,19.105403,-155.697525,Wild forest,Leaf litter,NA,22.5,26,64,59.9,NA,robyn.tanny@northwestern.edu,tcrombie@northwestern.edu,11/13/18,NA,NA,Hawaii,United States
C. elegans,ECA1230,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3451,S-08915,19.105403,-155.697525,Wild forest,Leaf litter,NA,22.5,26,64,59.9,NA,robyn.tanny@northwestern.edu,tcrombie@northwestern.edu,11/13/18,NA,NA,Hawaii,United States
C. elegans,ECA1231,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3451,S-08921,19.105403,-155.697525,Wild forest,Leaf litter,NA,22.5,26,64,59.9,NA,robyn.tanny@northwestern.edu,tcrombie@northwestern.edu,11/13/18,NA,NA,Hawaii,United States
C. elegans,ECA1232,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1678,S-08925,19.440236,-155.301494,Wild forest,Soil,NA,19,21.2,70,77.1,https://web.fulcrumapp.com/photos/view?photos=5013985a-81eb-4d42-82c3-9203a425be1e,robyn.tanny@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/12/18,NA,NA,Hawaii,United States
C. elegans,ECA1233,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3451,S-08936,19.105403,-155.697525,Wild forest,Leaf litter,NA,22.5,26,64,59.9,NA,robyn.tanny@northwestern.edu,tcrombie@northwestern.edu,11/13/18,NA,NA,Hawaii,United States
C. elegans,ECA1234,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1658,S-09041,19.441803,-155.304619,Wild forest,Flower,NA,17.1,19.2,NA,84.5,https://web.fulcrumapp.com/photos/view?photos=1f0c72b9-f66f-47c6-9e42-6e286c432997,erik.andersen@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/10/18,NA,NA,Hawaii,United States
C. elegans,ECA1235,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1658,S-09042,19.441803,-155.304619,Wild forest,Flower,NA,17.1,19.2,NA,84.5,https://web.fulcrumapp.com/photos/view?photos=1f0c72b9-f66f-47c6-9e42-6e286c432997,erik.andersen@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/10/18,NA,NA,Hawaii,United States
C. elegans,ECA1236,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1658,S-09043,19.441803,-155.304619,Wild forest,Flower,NA,17.1,19.2,NA,84.5,https://web.fulcrumapp.com/photos/view?photos=1f0c72b9-f66f-47c6-9e42-6e286c432997,erik.andersen@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/10/18,NA,NA,Hawaii,United States
C. elegans,ECA1237,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1658,S-09045,19.441803,-155.304619,Wild forest,Flower,NA,17.1,19.2,NA,84.5,https://web.fulcrumapp.com/photos/view?photos=1f0c72b9-f66f-47c6-9e42-6e286c432997,erik.andersen@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/10/18,NA,NA,Hawaii,United States
C. elegans,ECA1238,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2597,S-09058,19.438925,-155.303367,Wild forest,Leaf litter,NA,17.5,17.1,70,89.6,https://web.fulcrumapp.com/photos/view?photos=a4eb5c43-d245-4ed8-b91b-b19d133dda36,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/12/18,NA,NA,Hawaii,United States
C. elegans,ECA1239,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2633,S-09060,19.438994,-155.303422,Wild forest,Leaf litter,NA,16.8,17.1,65.5,90.1,NA,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/12/18,NA,NA,Hawaii,United States
C. elegans,ECA1240,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1666,S-09066,19.441797,-155.304625,Wild forest,Leaf litter,NA,17.1,19.2,70,84.3,https://web.fulcrumapp.com/photos/view?photos=78c21f9e-e122-487d-bf0b-efec83b3a959,robyn.tanny@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/13/18,NA,NA,Hawaii,United States
C. elegans,ECA1241,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3451,S-09074,19.105403,-155.697525,Wild forest,Leaf litter,NA,22.5,26,64,59.9,NA,robyn.tanny@northwestern.edu,tcrombie@northwestern.edu,11/13/18,NA,NA,Hawaii,United States
C. elegans,ECA1242,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2560,S-09080,19.438603,-155.303339,Wild forest,Leaf litter,NA,17.5,17.8,64,84.7,https://web.fulcrumapp.com/photos/view?photos=20f5146d-201d-4d1b-9e47-c0e679a2a912,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/12/18,NA,NA,Hawaii,United States
C. elegans,ECA1243,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2713,S-09162,19.120139,-155.819614,Wild forest,Nut,NA,21,24.7,NA,75.7,https://web.fulcrumapp.com/photos/view?photos=c92572ae-86cc-4c19-9ae0-0b88d5a77bc8,robyn.tanny@northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1244,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4563,S-09222,20.039703,-155.441433,Wild forest,Fruit,NA,20.9,23.3,NA,85.8,https://web.fulcrumapp.com/photos/view?photos=2c12b26f-cce7-4571-afe8-27f8da4f9e3c,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1245,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4563,S-09223,20.039703,-155.441433,Wild forest,Fruit,NA,20.9,23.3,NA,85.8,https://web.fulcrumapp.com/photos/view?photos=2c12b26f-cce7-4571-afe8-27f8da4f9e3c,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1246,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1410,S-09286,19.7205,-155.947706,Wild forest,Flower,NA,19.8,20.5,NA,90.1,https://web.fulcrumapp.com/photos/view?photos=298634dc-5df3-4525-ba65-2aae2e21f504,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1247,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1410,S-09287,19.7205,-155.947706,Wild forest,Flower,NA,19.8,20.5,NA,90.1,https://web.fulcrumapp.com/photos/view?photos=298634dc-5df3-4525-ba65-2aae2e21f504,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1248,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1410,S-09288,19.7205,-155.947706,Wild forest,Flower,NA,19.8,20.5,NA,90.1,https://web.fulcrumapp.com/photos/view?photos=298634dc-5df3-4525-ba65-2aae2e21f504,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1249,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4449,S-09335,20.041411,-155.443828,Wild forest,Fruit,NA,21.3,24,NA,86.5,https://web.fulcrumapp.com/photos/view?photos=38120a10-0885-467f-80a2-fb521ba3a060,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1250,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2571,S-09338,19.438661,-155.303442,Wild forest,Leaf litter,NA,17.1,17.8,70,87.2,https://web.fulcrumapp.com/photos/view?photos=66953e5f-9720-44cc-a7ef-960dcb11f468,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/12/18,NA,NA,Hawaii,United States
C. elegans,ECA1251,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2571,S-09346,19.438661,-155.303442,Wild forest,Leaf litter,NA,17.1,17.8,70,87.2,https://web.fulcrumapp.com/photos/view?photos=66953e5f-9720-44cc-a7ef-960dcb11f468,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/12/18,NA,NA,Hawaii,United States
C. elegans,ECA1252,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2597,S-09347,19.438925,-155.303367,Wild forest,Leaf litter,NA,17.5,17.1,70,89.6,https://web.fulcrumapp.com/photos/view?photos=a4eb5c43-d245-4ed8-b91b-b19d133dda36,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/12/18,NA,NA,Hawaii,United States
C. elegans,ECA1253,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2597,S-09349,19.438925,-155.303367,Wild forest,Leaf litter,NA,17.5,17.1,70,89.6,https://web.fulcrumapp.com/photos/view?photos=a4eb5c43-d245-4ed8-b91b-b19d133dda36,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/12/18,NA,NA,Hawaii,United States
C. elegans,ECA1254,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4449,S-09369,20.041411,-155.443828,Wild forest,Fruit,NA,21.3,24,NA,86.5,https://web.fulcrumapp.com/photos/view?photos=38120a10-0885-467f-80a2-fb521ba3a060,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1255,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4449,S-09370,20.041411,-155.443828,Wild forest,Fruit,NA,21.3,24,NA,86.5,https://web.fulcrumapp.com/photos/view?photos=38120a10-0885-467f-80a2-fb521ba3a060,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1256,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4449,S-09374,20.041411,-155.443828,Wild forest,Fruit,NA,21.3,24,NA,86.5,https://web.fulcrumapp.com/photos/view?photos=38120a10-0885-467f-80a2-fb521ba3a060,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1257,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4449,S-09375,20.041411,-155.443828,Wild forest,Fruit,NA,21.3,24,NA,86.5,https://web.fulcrumapp.com/photos/view?photos=38120a10-0885-467f-80a2-fb521ba3a060,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1258,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4449,S-09376,20.041411,-155.443828,Wild forest,Fruit,NA,21.3,24,NA,86.5,https://web.fulcrumapp.com/photos/view?photos=38120a10-0885-467f-80a2-fb521ba3a060,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1259,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2733,S-09386,19.120686,-155.819683,Wild forest,Fruit,NA,20.6,24,NA,76.6,https://web.fulcrumapp.com/photos/view?photos=f7ff43d8-6fb2-4fd6-9d0b-d26abafaa2e2,shannonbrady2014@u.northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1260,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2733,S-09387,19.120686,-155.819683,Wild forest,Fruit,NA,20.6,24,NA,76.6,https://web.fulcrumapp.com/photos/view?photos=f7ff43d8-6fb2-4fd6-9d0b-d26abafaa2e2,shannonbrady2014@u.northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1261,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-0991,S-09410,19.115236,-155.819108,Wild forest,Leaf litter,NA,20.4,21.9,67,85,https://web.fulcrumapp.com/photos/view?photos=ec3e8677-4529-462c-8f3f-329a74a8d71e,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1262,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1306,S-09417,19.720131,-155.948586,Wild forest,Fruit,NA,20.2,21.2,NA,88.7,https://web.fulcrumapp.com/photos/view?photos=61fd02fd-4645-4918-b511-ab6cac47cf2c,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1263,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1306,S-09418,19.720131,-155.948586,Wild forest,Fruit,NA,20.2,21.2,NA,88.7,https://web.fulcrumapp.com/photos/view?photos=61fd02fd-4645-4918-b511-ab6cac47cf2c,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1264,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1306,S-09419,19.720131,-155.948586,Wild forest,Fruit,NA,20.2,21.2,NA,88.7,https://web.fulcrumapp.com/photos/view?photos=61fd02fd-4645-4918-b511-ab6cac47cf2c,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1265,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1063,S-09426,19.115406,-155.818569,Wild forest,Leaf litter,NA,20.2,22.6,66,84.1,https://web.fulcrumapp.com/photos/view?photos=846ac0fb-97e4-4857-be6a-46c9c4a7257f,erik.andersen@northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1266,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1063,S-09432,19.115406,-155.818569,Wild forest,Leaf litter,NA,20.2,22.6,66,84.1,https://web.fulcrumapp.com/photos/view?photos=846ac0fb-97e4-4857-be6a-46c9c4a7257f,erik.andersen@northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1267,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2733,S-09441,19.120686,-155.819683,Wild forest,Fruit,NA,20.6,24,NA,76.6,https://web.fulcrumapp.com/photos/view?photos=f7ff43d8-6fb2-4fd6-9d0b-d26abafaa2e2,shannonbrady2014@u.northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1268,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2733,S-09442,19.120686,-155.819683,Wild forest,Fruit,NA,20.6,24,NA,76.6,https://web.fulcrumapp.com/photos/view?photos=f7ff43d8-6fb2-4fd6-9d0b-d26abafaa2e2,shannonbrady2014@u.northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1269,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2733,S-09445,19.120686,-155.819683,Wild forest,Fruit,NA,20.6,24,NA,76.6,https://web.fulcrumapp.com/photos/view?photos=f7ff43d8-6fb2-4fd6-9d0b-d26abafaa2e2,shannonbrady2014@u.northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1270,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2737,S-09448,19.120692,-155.819656,Wild forest,Fruit,NA,20.4,24,NA,75.4,https://web.fulcrumapp.com/photos/view?photos=60f560dd-b93c-46eb-af89-0f2478077853,shannonbrady2014@u.northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1271,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2737,S-09453,19.120692,-155.819656,Wild forest,Fruit,NA,20.4,24,NA,75.4,https://web.fulcrumapp.com/photos/view?photos=60f560dd-b93c-46eb-af89-0f2478077853,shannonbrady2014@u.northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1272,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1410,S-09468,19.7205,-155.947706,Wild forest,Flower,NA,19.8,20.5,NA,90.1,https://web.fulcrumapp.com/photos/view?photos=298634dc-5df3-4525-ba65-2aae2e21f504,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1273,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1306,S-09469,19.720131,-155.948586,Wild forest,Fruit,NA,20.2,21.2,NA,88.7,https://web.fulcrumapp.com/photos/view?photos=61fd02fd-4645-4918-b511-ab6cac47cf2c,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1274,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1410,S-09479,19.7205,-155.947706,Wild forest,Flower,NA,19.8,20.5,NA,90.1,https://web.fulcrumapp.com/photos/view?photos=298634dc-5df3-4525-ba65-2aae2e21f504,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1275,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1306,S-09480,19.720131,-155.948586,Wild forest,Fruit,NA,20.2,21.2,NA,88.7,https://web.fulcrumapp.com/photos/view?photos=61fd02fd-4645-4918-b511-ab6cac47cf2c,nicoleroberto2018@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1276,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3190,S-09545,20.040864,-155.443772,Wild forest,Leaf litter,NA,20.9,22.6,58,86.5,https://web.fulcrumapp.com/photos/view?photos=25efc991-07b3-4a64-bc90-d802680a55d9,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1277,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3190,S-09547,20.040864,-155.443772,Wild forest,Leaf litter,NA,20.9,22.6,58,86.5,https://web.fulcrumapp.com/photos/view?photos=25efc991-07b3-4a64-bc90-d802680a55d9,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1278,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3190,S-09600,20.040864,-155.443772,Wild forest,Leaf litter,NA,20.9,22.6,58,86.5,https://web.fulcrumapp.com/photos/view?photos=25efc991-07b3-4a64-bc90-d802680a55d9,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1279,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1160,S-09625,19.720103,-155.948617,Wild forest,Flower,NA,20.4,21.9,NA,89.6,https://web.fulcrumapp.com/photos/view?photos=1e1fba36-dcb6-4d3a-9645-3a1cd1b61788,shannonbrady2014@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1281,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1160,S-09654,19.720103,-155.948617,Wild forest,Flower,NA,20.4,21.9,NA,89.6,https://web.fulcrumapp.com/photos/view?photos=1e1fba36-dcb6-4d3a-9645-3a1cd1b61788,shannonbrady2014@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1282,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1160,S-09664,19.720103,-155.948617,Wild forest,Flower,NA,20.4,21.9,NA,89.6,https://web.fulcrumapp.com/photos/view?photos=1e1fba36-dcb6-4d3a-9645-3a1cd1b61788,shannonbrady2014@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1283,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1160,S-09674,19.720103,-155.948617,Wild forest,Flower,NA,20.4,21.9,NA,89.6,https://web.fulcrumapp.com/photos/view?photos=1e1fba36-dcb6-4d3a-9645-3a1cd1b61788,shannonbrady2014@u.northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. elegans,ECA1284,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4568,S-09713,20.038594,-155.439978,Wild forest,Leaf litter,NA,20.1,21.2,62,88.7,https://web.fulcrumapp.com/photos/view?photos=3d14a011-0a6a-4bfd-8129-33d24e6d5cb1,erik.andersen@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1285,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4568,S-09715,20.038594,-155.439978,Wild forest,Leaf litter,NA,20.1,21.2,62,88.7,https://web.fulcrumapp.com/photos/view?photos=3d14a011-0a6a-4bfd-8129-33d24e6d5cb1,erik.andersen@northwestern.edu,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1286,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2745,S-09763,19.120631,-155.819753,Wild forest,Leaf litter,NA,20.7,24,61.5,75.5,https://web.fulcrumapp.com/photos/view?photos=a0db95c3-d70c-452e-a468-1273f372ab1a,shannonbrady2014@u.northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1287,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2713,S-09789,19.120139,-155.819614,Wild forest,Nut,NA,21,24.7,NA,75.7,https://web.fulcrumapp.com/photos/view?photos=c92572ae-86cc-4c19-9ae0-0b88d5a77bc8,robyn.tanny@northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1288,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-0987,S-09811,19.115289,-155.819194,Wild forest,Leaf litter,NA,20.5,21.9,64,84.8,https://web.fulcrumapp.com/photos/view?photos=db934764-6948-4209-bfac-9b6781e0f1a9,shannonbrady2014@u.northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1289,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3491,S-09817,19.119419,-155.821783,Wild forest,Leaf litter,NA,20.3,24.7,69,72.7,NA,shannonbrady2014@u.northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1290,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-2745,S-09826,19.120631,-155.819753,Wild forest,Leaf litter,NA,20.7,24,61.5,75.5,https://web.fulcrumapp.com/photos/view?photos=a0db95c3-d70c-452e-a468-1273f372ab1a,shannonbrady2014@u.northwestern.edu,tcrombie@northwestern.edu,11/15/18,NA,NA,Hawaii,United States
C. elegans,ECA1291,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4563,S-09841,20.039703,-155.441433,Wild forest,Fruit,NA,20.9,23.3,NA,85.8,https://web.fulcrumapp.com/photos/view?photos=2c12b26f-cce7-4571-afe8-27f8da4f9e3c,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1292,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4521,S-09891,20.038475,-155.438331,Wild forest,Leaf litter,NA,20.5,24,59.5,78.7,https://web.fulcrumapp.com/photos/view?photos=6e0f0469-7c95-45ee-bb6d-0d96a6eb26f5,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
